Código EOL UE,Nome UE,Código EOL DRE,Nome da DRE UE,Sigla DRE,Nome da associação,CNPJ da associação,RF Presidente Diretoria,Nome Presidente Diretoria,RF Presidente Conselho Fiscal,Nome Presidente Conselho Fisca
019415,"EMEF ALICE MEIRELLES REIS, PROFA",109000,PIRITUBA,PJ,"EMEF ALICE MEIRELLES REIS ,PROFª",12484913000100,,,,
019416,EMEF VILA MUNCK,108100,BUTANTA,BT,EMEF VILA MUNCK,11700116000150,,,,
019417,EMEF JARDIM PAULO VI,108100,BUTANTA,BT,EMEF JARDIM PAULO VI,11687783000140,,,,
019418,"EMEF ALEX MARTINS COSTA, PROF, MAESTRO",108900,PENHA,PE,EMEF PROFº MAESTRO ALEX MARTINS COSTA,10954230000143,,,,
019419,"EMEF ANA MARIA ALVES BENETTI, PROFA",109100,SANTO AMARO,SA,EMEF ANA MARIA ALVES BENETTI,12541807000110,,,,
019420,"EMEF MARIA LUCIA DOS SANTOS, PROFA.",109100,SANTO AMARO,SA,EMEF MARIA LUCIA DOS SANTOS,12234115000120,,,,
019421,"EMEF JOSE FRANCISCO CAVALCANTE, PROF",108200,CAMPO LIMPO,CL,"EMEF JOSÉ FRANCISCO CAVALCANTE, PROF",11830412000175,,,,
019422,EMEF M BOI MIRIM I,108200,CAMPO LIMPO,CL,EMEF - M'BOI MIRIM I,10859348000192,,,,
019423,EMEF M BOI MIRIM II,108200,CAMPO LIMPO,CL,EMEF - M'BOI MIRIM II,11997399000143,,,,
019424,EMEF MARLI FERRAZ TORRES BONFIM,108200,CAMPO LIMPO,CL,EMEF - MARLI FERRAZ TORRES BONFIM,12040467000144,,,,
019425,EMEF MARTIN LUTHER KING JR,109200,SAO MATEUS,SM,EMEF MARTIN LUTHER KING JR,11085356000191,,,,
019426,"EMEF MARISA MORETTI CAMARA, PROFA.",109300,SAO MIGUEL,MP,"EMEF MARISA MORETTI CAMARA, PROFA.",10933332000182,,,,
019427,EMEF HERCILIA DE CAMPOS COSTA,108600,IPIRANGA,IP,EMEF HERCILIA DE CAMPOS COSTA,11294731000103,,,,
019428,EMEF SOCRATES BRASILEIRO SAMPAIO DE SOUSA VIEIRA DE OLIVEIRA,108200,CAMPO LIMPO,CL,EMEF - CAMPO LIMPO I,11433478000121,,,,
019429,"EMEI ALDO GIANNINI, ENG.",109300,SAO MIGUEL,MP,EMEI ENG. ALDO GIANNINI,3959943000134,,,,
019430,EMEF CAMPO LIMPO III -LUISA ROSARIA DE OLIVEIRA DIAS,108200,CAMPO LIMPO,CL,EMEF CAMPO LIMPO III,12668077000113,,,,
019431,"EMEF MILLOR FERNANDES, JORNALISTA",108200,CAMPO LIMPO,CL,"EMEF - MILLOR FERNANDES, JORNALISTA",11177775000153,,,,
019432,CEMEI PARQUE DO LAGO,108200,CAMPO LIMPO,CL,CEMEI - PARQUE DO LAGO,15712373000162,,,,
019433,"EMEF JOSEFA NICACIO ARAUJO, PROFA.",109300,SAO MIGUEL,MP,"EMEF JOSEFA NICACIO ARAUJO, PROFA.",10840732000143,,,,
019434,EMEF CAMPO LIMPO II,108200,CAMPO LIMPO,CL,EMEF - CAMPO LIMPO II,10953293000185,,,,
019436,EMEF CARLOS FRANCISCO GASPAR,108300,CAPELA DO SOCORRO,CS,EMEF CARLOS FRANCISCO GASPAR,11512562000130,,,,
019437,EMEF DIAS GOMES,108500,GUAIANASES,G,EMEF DIAS GOMES,4348276000116,,,,
019439,"EMEF ALDINA ANALIA AGOSTINHA TADDEO CONDE, PROFA",108300,CAPELA DO SOCORRO,CS,"EMEF ALDINA A.A.TADDEO CONDE, PROFª",12308362000123,,,,
019440,"EMEF GENY MARIA MUNIZ ALMEIDA KLEIN PUSSINELLI, PROFA.",108300,CAPELA DO SOCORRO,CS,"EMEF GENY MARIA MUNIZ ALMEIDA KLEIN PUSSINELLI,PROFA.",11365625000173,,,,
019441,"CEU EMEI MAGDA FERREIRA DA SILVA CARVALHO, PROFA.",108300,CAPELA DO SOCORRO,CS,CEU EMEI PARELHEIROS,10928229000144,,,,
019443,"EMEF MEIRE DE JESUS RIBEIRO,PROF.",108500,GUAIANASES,G,EMEF CONJUNTO HABITACIONAL BARRO BRANCO II - C,11022607000199,,,,
019444,EMEI VILA EMA,108600,IPIRANGA,IP,EMEI VILA EMA,11325112000139,,,,
019445,"EMEF ROGE FERREIRA, DEP.",109000,PIRITUBA,PJ,"EMEF ROGÊ FERREIRA,DEP.",3991029000170,,,,
019446,EMEI RECANTO DOS HUMILDES I,109000,PIRITUBA,PJ,EMEI RECANTO DOS HUMILDES I,11412258000111,,,,
019447,EMEF JOEL FERNANDES DE SOUZA,108500,GUAIANASES,G,EMEF JOEL FERNANDES DE SOUZA,10782477000120,,,,
019448,EMEI JARDIM NOVO PARELHEIROS I,108300,CAPELA DO SOCORRO,CS,EMEI JARDIM NOVO PARELHEIROS I,11251240000185,,,,
019449,"EMEF JURANDI GOMES DE ARAUJO, PROF.",109300,SAO MIGUEL,MP,"EMEF JURANDI GOMES DE ARAUJO, PROF.",10903950000180,,,,
019450,EMEI JARDIM PREMIANO,109200,SAO MATEUS,SM,EMEI JARDIM PREMIANO,11862487000138,,,,
019451,EMEI PARQUE COCAIA II,108300,CAPELA DO SOCORRO,CS,EMEI PARQUE COCAIA II,11364590000158,,,,
019452,"EMEI MARIA THEREZA FUMAGALLI, PROFA",109000,PIRITUBA,PJ,"EMEI MARIA THEREZA FUMAGALLI,PROFª",12124833000143,,,,
019453,"EMEBS MARIO PEREIRA BICUDO, PROF.",108400,FREGUESIA/BRASILANDIA,FO,EMEBS PROF MARIO PEREIRA BICUDO,3738046000109,,,,
019454,EMEF BARTOLOMEU CAMPOS DE QUEIROS,109200,SAO MATEUS,SM,EMEF BARTOLOMEU CAMPOS DE QUEIROS,11844929000113,,,,
019455,"EMEF CELIA REGINA ANDERY BRAGA, PROF",108500,GUAIANASES,G,EMEF PROFª CELIA REGINA ANDERY BRAGA,11885261000152,,,,
019456,"EMEF HELINA COUTINHO LOURENCO ALVES, PROFESSORA",108500,GUAIANASES,G,EMEF PROF. HELINA COUTINHO LOURENÇO ALVEZ,11785427000169,,,,
019457,"EMEF MARIA APARECIDA MAGNANELLI FERNANDES, PROFA",108500,GUAIANASES,G,EMEF PROFª MARIA APARECIDA MAGNANELLI FERNANDES,11785933000158,,,,
019458,"EMEF MARIA APARECIDA RODRIGUES CINTRA, PROFA.",108400,FREGUESIA/BRASILANDIA,FO,EMEF PROFESSORA MARIA APARECIDA RODRIGUES CINTRA,14553165000103,,,,
019459,EMEI UNIAO DE VILA NOVA I,109300,SAO MIGUEL,MP,EMEI UNIÃO DE VILA NOVA I,12142882000109,,,,
019460,"EMEF JOSE CARLOS NICOLETO - ZITO, PROFESSOR",109200,SAO MATEUS,SM,EMEF PROFESSOR JOSE CARLOS NICOLETO - ZITO,11897281000143,,,,
019461,EMEI MORRO DOCE,109000,PIRITUBA,PJ,EMEI MORRO DOCE,3971248000198,,,,
019462,"EMEF LILIAN MASO, PROFA",108400,FREGUESIA/BRASILANDIA,FO,EMEF PROFESSORA LILIAN MASO,14133634000127,,,,
019463,EMEF ESTACAO JARAGUA,109000,PIRITUBA,PJ,EMEF - ESTAÇÃO JARAGUÁ,13605640000177,,,,
019465,"EMEF AMELIA RODRIGUES DE OLIVEIRA, PROFA",109100,SANTO AMARO,SA,EMEF AMELIA RODRIGUES DE OLIVEIRA,14222620000180,,,,
019466,EMEF PERIMETRAL,108200,CAMPO LIMPO,CL,EMEF PERIMETRAL,13574650000192,,,,
019467,"EMEI THAIS MOTTA DE OLIVEIRA E SILVA RODRIGUES, PROFA.",109000,PIRITUBA,PJ,EMEI PROFA THAIS MOTTA DE OLIVEIRA E SILVA RODRIGUES,15523672000159,,,,
019468,EMEI LOURO ROSA,109300,SAO MIGUEL,MP,EMEI LOURO ROSA,13698136000169,,,,
019469,EMEI JARDIM MONJOLO I,108400,FREGUESIA/BRASILANDIA,FO,EMEI JARDIM MONJOLO I,17158895000190,,,,
019470,"EMEI PEDRO ALVARES CABRAL MORAES, PROF.",108800,JACANA/TREMEMBE,JT,EMEI PROFESSOR PEDRO ALVARES CABRAL MORAES,5570383000157,,,,
019471,"EMEI DORINA NOWILL, PROFESSORA",109100,SANTO AMARO,SA,"EMEI DORINA NOWILL, PROFª",15596137000128,,,,
019472,EMEI CIDADE ADEMAR II,109100,SANTO AMARO,SA,EMEI CIDADE ADEMAR II,15665388000117,,,,
019473,EMEI VARGEM GRANDE I,108300,CAPELA DO SOCORRO,CS,EMEI VARGEM GRANDE I,15712176000143,,,,
019474,EMEF VARGEM GRANDE II,108300,CAPELA DO SOCORRO,CS,EMEF VARGEM GRANDE II,15836536000119,,,,
019475,EMEI CIDADE ADEMAR III,109100,SANTO AMARO,SA,EMEI CIDADE ADEMAR III,15665574000156,,,,
019476,"EMEF MARIA APARECIDA DO NASCIMENTO, PROFA.",108500,GUAIANASES,G,EMEF PROFESSORA MARIA APARECIDA DO NASCIMENTO,16444100000147,,,,
019477,"EMEI ISOLINA LEONEL FERREIRA, PROFA.",108600,IPIRANGA,IP,EMEI PROFª  ISOLINA LEONEL FERREIRA,18872805000190,,,,
019478,"EMEI MARISA RICCA XIMENES, PROFA.",108600,IPIRANGA,IP,EMEI PROFª MARISA RICCA XIMENES,18579281000144,,,,
019479,EMEI VILA NATAL,108300,CAPELA DO SOCORRO,CS,EMEI VILA NATAL,18634321000103,,,,
019480,"EMEF ABRAO HUCK, DR.",108600,IPIRANGA,IP,EMEF DR. ABRAO HUCK,19232245000172,,,,
019481,"EMEI MARCIANO VASQUES PEREIRA, PROF",108900,PENHA,PE,EMEI ALFAZEMAS,18539832000146,,,,
019482,EMEI PORTO NACIONAL,108400,FREGUESIA/BRASILANDIA,FO,EMEI PORTO NACIONAL,18813325000159,,,,
019483,CEI DIRET JARDIM SANTA TEREZA,108400,FREGUESIA/BRASILANDIA,FO,CEI JARDIM SANTA TEREZA,20965848000162,,,,
019484,EMEI ESTRADA DO CORREDOR,109000,PIRITUBA,PJ,EMEI ESTRADA DO CORREDOR ,18026999000103,,,,
019485,"EMEI FULVIA ROSEMBERG, PROFA",108500,GUAIANASES,G,EMEI CIDADE TIRADENTES I,18124929000198,,,,
019486,EMEI PARQUE DAS NACOES I,109000,PIRITUBA,PJ,EMEI PARQUE DAS NACOES I,20891745000103,,,,
019487,EMEF CHACARA TURISTICA,109000,PIRITUBA,PJ,EMEF CHACARA TURISTICA,23341257000102,,,,
019488,"EMEF PAULO CARNEIRO THOMAZ ALVES, GAL.",108800,JACANA/TREMEMBE,JT,EMEF GENERAL PAULO CARNEIRO THOMAZ ALVES,4037167000188,,,,
019489,EMEI PARQUE SANTA RITA I,109300,SAO MIGUEL,MP,EMEI PARQUE SANTA RITA I,18418500000103,,,,
019490,EMEI CAMPO LIMPO VI,108200,CAMPO LIMPO,CL,EMEI CAMPO LIMPO VI,24866805000180,,,,
019492,"EMEF EDIVALDO DOS SANTOS DANTAS, PROF.",108200,CAMPO LIMPO,CL,EMEF PERATUBA II,20744425000112,,,,
019493,CEMEI CAPAO REDONDO,108200,CAMPO LIMPO,CL,CEMEI CAPÃO REDONDO,24573351000150,,,,
019494,EMEI VILA CALU I,108200,CAMPO LIMPO,CL,EMEI VILA CALU I,20815256000164,,,,
019495,EMEI PARQUE SANTO ANTONIO I,108200,CAMPO LIMPO,CL,EMEI PARQUE SANTO ANTONIO I,24515883000130,,,,
019496,EMEF PLINIO MARCOS,108300,CAPELA DO SOCORRO,CS,EMEF PLINIO MARCOS,4101831000100,,,,
019497,CEMEI LAZARA VEIGA CATELLANI,108200,CAMPO LIMPO,CL,CEMEI PERATUBA,23776318000164,,,,
019498,EMEI JARDIM KAGOHARA I,108200,CAMPO LIMPO,CL,EMEI JARDIM KAGOHARA I,23604271000151,,,,
019499,"EMEI ROSILDA SILVIO SOUZA, PROFA",108200,CAMPO LIMPO,CL,"EMEI ROSILDA SILVIO SOUZA, PROFA",20161563000179,,,,
019500,EMEF HERBERT DE SOUZA - BETINHO,108200,CAMPO LIMPO,CL,EMEF - HERBERT DE SOUZA - BETINHO,3904267000100,,,,
019501,EMEI PARQUE FIGUEIRA GRANDE I - ANDRE LUIZ JANUARIO,108200,CAMPO LIMPO,CL,EMEI PARQUE FIGUEIRA GRANDE I,23177417000120,,,,
019502,"EMEI MARISA LOPES PINHEIRO, PROFA",109300,SAO MIGUEL,MP,EMEI CDHU ITAIM A 1,19400978000179,,,,
019503,EMEF JARDIM BARTIRA,109300,SAO MIGUEL,MP,EMEF JARDIM BARTIRA,22705176000181,,,,
019504,EMEI BEGONIA REAL,108700,ITAQUERA,IQ,EMEI BEGONIA REAL,22134439000140,,,,
019505,"EMEF JOSE MARIO PIRES AZANHA, PROF.",109300,SAO MIGUEL,MP,EMEF CRIUVA,21039991000196,,,,
019506,EMEF MILTON PEREIRA COSTA,109300,SAO MIGUEL,MP,EMEF VILA JACUI,20992497000189,,,,
019507,EMEF PEDRO FUKUYEI YAMAGUCHI FERREIRA,109300,SAO MIGUEL,MP,EMEF FAVEIRA DO MATO,20350446000153,,,,
019508,"EMEI PAULA CRISTINA RODRIGUES, PROFA",109200,SAO MATEUS,SM,EMEI PROF PAULA CRISTINA RODRIGUES,20268929000103,,,,
019509,EMEF ACLAMADO,109200,SAO MATEUS,SM,EMEF ACLAMADO,24687328000196,,,,
019510,"EMEI ROSA MARIA DOGO DE RESENDE, PROFA",109100,SANTO AMARO,SA,"EMEI ROSA MARIA DOGO DE RESENDE, PROFª",22369679000123,,,,
019511,"EMEI DORACI DOS SANTOS RAMOS, PROFA",108500,GUAIANASES,G,EMEI CIDADE TIRADENTES II,22416352000165,,,,
019512,CEMEI JARDIM ANGELA,108200,CAMPO LIMPO,CL,CEMEI JARDIM ANGELA,27389611000120,,,,
019513,EMEI PARQUE BOLOGNE,108200,CAMPO LIMPO,CL,EMEI PARQUE BOLOGNE,28118789000107,,,,
019514,EMEI PIRAJUSSARA,108200,CAMPO LIMPO,CL,EMEI PIRAJUSSARA,26905231000138,,,,
019515,EMEI PERIMETRAL I,108200,CAMPO LIMPO,CL,EMEI PERIMETRAL I,24347383000137,,,,
019516,EMEI ANDORINHA DOS BEIRAIS,108200,CAMPO LIMPO,CL,EMEI ANDORINHA DOS BEIRAIS,26213288000176,,,,
019517,EMEI CHACARA SANTA MARIA,108200,CAMPO LIMPO,CL,EMEI CHACARA SANTA MARIA,25054043000180,,,,
019518,"EMEI CECILIA SANT ANNA DE SOUZA, PROFA.",108700,ITAQUERA,IQ,EMEI PROF CECILIA S. DE SOUZA,4905490000126,,,,
019519,"EMEI JORGE ADILSON CANDIDO, PROF.",108100,BUTANTA,BT,EMEI PROFESSOR JORGE ADILSON CANDIDO,25102177000120,,,,
019520,"CEMEI LEILA GALLACCI METZKER, PROFA",108100,BUTANTA,BT,CEMEI PROFª LEILA GALLACCI METZKER,25106500000133,,,,
019521,EMEI JARDIM GAIVOTAS,108300,CAPELA DO SOCORRO,CS,EMEI JARDIM GAIVOTAS,26163299000199,,,,
019522,EMEI JARDIM MYRNA,108300,CAPELA DO SOCORRO,CS,EMEI JARDIM MYRNA,25968444000146,,,,
019523,EMEI PEDREIRA I,109100,SANTO AMARO,SA,EMEI PEDREIRA I,26013370000157,,,,
019524,"EMEI ANA PAULA APARECIDA DINIZ PRIMO, PROFA",108500,GUAIANASES,G,EMEI LAJEADO I,24960751000118,,,,
019525,EMEI JARDIM MARIA LUIZA,109100,SANTO AMARO,SA,EMEI JARDIM MARIA LUIZA,28981343000101,,,,
019526,EMEF DONATO SUSUMU KIMURA,108200,CAMPO LIMPO,CL,EMEF - DONATO SUSUMU KIMURA,3811000000160,,,,
019527,EMEI JARDIM AMERICANOPOLIS,109100,SANTO AMARO,SA,EMEI JARDIM AMERICANOPOLIS,28718378000144,,,,
019528,CEMEI VILA DO SOL I,108200,CAMPO LIMPO,CL,CEMEI VILA DO SOL I,27940335000146,,,,
019529,EMEF JARDIM SILVA TELES,109300,SAO MIGUEL,MP,EMEF JARDIM SILVA TELLES,28373647000188,,,,
019530,EMEI VILA SANTA CATARINA,109100,SANTO AMARO,SA,EMEI VILA SANTA CATARINA,31655369000166,,,,
019531,CEMEI CASA BLANCA I,108200,CAMPO LIMPO,CL,CEMEI CASA BLANCA I,28796253000132,,,,
019532,CEMEI IRAPARA,108200,CAMPO LIMPO,CL,CEMEI IRAPARA,28129713000179,,,,
019533,EMEI CAMINHO DOS MARTINS,108300,CAPELA DO SOCORRO,CS,EMEI CAMINHO DOS MARTINS,29363682000189,,,,
019534,EMEI JOAQUIM ANTONIO DA ROCHA,108600,IPIRANGA,IP,EMEI JOAQUIM ANTONIO DA ROCHA,4027196000169,,,,
019535,EMEI JARDIM SAO BERNARDO,108300,CAPELA DO SOCORRO,CS,EMEI JARDIM SÃO BERNARDO,28929604000136,,,,
019536,EMEI CANAL DO COCAIA,108300,CAPELA DO SOCORRO,CS,EMEI CANAL DO COCAIA,28929808000177,,,,
019542,"EMEI ANA MARCHIONE SALLES, PROFA.",108900,PENHA,PE,EMEI PROFª ANA   MARCHIONE SALLES   ,3882553000103,,,,
019551,"CEU EMEF CESAR ARRUDA CASTANHO, DEP.",108100,BUTANTA,BT,EMEF DEP. CÉSAR ARRUDA CASTANHO,4146275000199,,,,
019569,"EMEF ROBERTO PLINIO COLACIOPPO, PROF.",108600,IPIRANGA,IP,EMEF PROFESSOR ROBERTO PLINIO COLACIOPPO,4347227000169,,,,
019577,EMEI PARADA DE TAIPAS,109000,PIRITUBA,PJ,EMEI PARADA DE TAIPAS,3893086000117,,,,
019585,"EMEF WLADIMIR DE TOLEDO PIZA,PREF.",109200,SAO MATEUS,SM,EMEF PREFEITO WLADIMIR TOLEDO PIZA ,4191768000140,,,,
019593,EMEI IGUATEMI,109200,SAO MATEUS,SM,EMEI IGUATEMI ,4101129000147,,,,
019607,"EMEF ANTONIO RODRIGUES DE CAMPOS, PROF.",109000,PIRITUBA,PJ,EMEF PROF ANTONIO RODRIGUES DE CAMPOS,4805173000138,,,,
019611,EMEI JARDIM IDEAL,108300,CAPELA DO SOCORRO,CS,#N/A,#N/A,,,,
019612,CEMEI DOMINGOS DELGADO,108400,FREGUESIA/BRASILANDIA,FO,#N/A,#N/A,,,,
019615,"EMEF DIRCE GENESIO DOS SANTOS, PROFA",109200,SAO MATEUS,SM,EMEF PROFESSORA DIRCE GENESIO DOS SANTOS ,4136584000188,,,,
019623,"EMEI RUMI OIKAWA, PROFA",109200,SAO MATEUS,SM,EMEI PROFESSORA RUMI OIKAWA,4180802000181,,,,
019631,"EMEF NILCE CRUZ FIGUEIREDO, PROFA.",108800,JACANA/TREMEMBE,JT,EMEF PROFESSORA NILCE CRUZ FIGUEIREDO,4423280000100,,,,
019640,"CEU EMEF MARIA LISBOA DA SILVA, PROFA",109200,SAO MATEUS,SM,CEU EMEF PROFESSORA MARIA LISBOA DA SILVA,4530352000100,,,,
019641,CEMEI JARDIM KIOTO,108300,CAPELA DO SOCORRO,CS,CEMEI JARDIM KIOTO,30379339000101,,,,
019642,EMEI PARQUE SAVOY CITY,108700,ITAQUERA,IQ,EMEI  PARQUE SAVOY CITY,30888816000164,,,,
019643,CEMEI ANDAGUACU,108200,CAMPO LIMPO,CL,CEMEI ANDAGUAÇU,30794823000105,,,,
019644,CEMEI MARCIA KUMBREVICIUS DE MOURA,108300,CAPELA DO SOCORRO,CS,CEMEI JARDIM NORONHA,30940211000175,,,,
019645,CEMEI JARDIM DOM JOSE I,108200,CAMPO LIMPO,CL,JARDIM DOM JOSÉ I,30689120000109,,,,
019646,EMEI JARDIM LUCELIA,108300,CAPELA DO SOCORRO,CS,EMEI JARDIM LUCELIA,30800337000144,,,,
019647,"EMEI MARIA LUIZA VALENTIM DA CRUZ, PROFA",108300,CAPELA DO SOCORRO,CS,EMEI JARDIM CASA GRANDE,30968975000179,,,,
019648,CEMEI CARMELO CALI,108200,CAMPO LIMPO,CL,CEMEI CARMELO CALI,33138357000190,,,,
019649,CEMEI JARDIM DAS PALMAS,108200,CAMPO LIMPO,CL,CEMEI JARDIM DAS PALMAS,33414051000119,,,,
019650,EMEI MARECHAL TITO,109300,SAO MIGUEL,MP,EMEI MARECHAL TITO,34199285000153,,,,
019651,EMEI PARQUE BRASIL,108300,CAPELA DO SOCORRO,CS,EMEI PARQUE BRASIL,34407276000100,,,,
019652,EMEI JARDIM APURA,109100,SANTO AMARO,SA,EMEI JARDIM APURA,0,,,,
019653,CEMEI MORUMBI,108200,CAMPO LIMPO,CL,#N/A,#N/A,,,,
019654,EMEI CIDADE TIRADENTES IV,108500,GUAIANASES,G,#N/A,#N/A,,,,
019655,EMEI LAJEADO II,108500,GUAIANASES,G,#N/A,#N/A,,,,
019656,CEMEI PACHECO GATO,109200,SAO MATEUS,SM,#N/A,#N/A,,,,
019657,CEU CEMEI PARQUE DO CARMO,108700,ITAQUERA,IQ,#N/A,#N/A,,,,
019658,"EMEI FERNANDO CAMARGO SOARES, PROF.",108800,JACANA/TREMEMBE,JT,EMEI PROF. FERNANDO CAMARGO SOARES,4751687000158,,,,
019659,CEU CEMEI VILA ALPINA,108600,IPIRANGA,IP,#N/A,#N/A,,,,
019666,"EMEI DINAH GALVAO, PROFA.",108900,PENHA,PE,EMEI PROFESSORA DINAH GALVÃO,4420653000180,,,,
019674,CEU EMEF JARDIM ELIANA,108300,CAPELA DO SOCORRO,CS,EMEF JARDIM ELIANA - CEU NAVEGANTES,4465390000126,,,,
019682,EMEI LUIZ GONZAGA DO NASCIMENTO - GONZAGAO,108300,CAPELA DO SOCORRO,CS,EMEI LUIZ GONZAGA DO NASCIMENTO - GONZAGÃO,5893419000133,,,,
019691,"EMEF MARIO COVAS, GOV.",108700,ITAQUERA,IQ,EMEF GOV MARIO COVAS,4348244000110,,,,
019704,"EMEF PRIMO PASCOLI MELARE, PROF.",108400,FREGUESIA/BRASILANDIA,FO,EMEF PRIMO PASCOLI MELARE,4534760000130,,,,
019712,"EMEF MARIA BERENICE DOS SANTOS, PROFA.",108200,CAMPO LIMPO,CL,"EMEF - MARIA BERENICE DOS SANTOS, PROFª",4398888000113,,,,
087319,"EMEF THEODOMIRO MONTEIRO DO AMARAL, PROF.",108200,CAMPO LIMPO,CL,"EMEF - THEODOMIRO MONTEIRO DO AMARAL, PROF.",1298714000190,,,,
090018,EMEI MONTE CASTELO,108100,BUTANTA,BT,EMEI MONTE CASTELO,50960145000102,,,,
090026,EMEI EMIR MACEDO NOGUEIRA,108100,BUTANTA,BT,EMEI EMIR MACEDO NOGUEIRA,50861111000160,,,,
090034,EMEI ANTONIO BENTO,108100,BUTANTA,BT,EMEI ANTONIO BENTO,50862911000104,,,,
090042,"EMEI DALMO DO VALLE NOGUEIRA, DES.",108100,BUTANTA,BT,EMEI DES. DALMO DO VALLE NOGUEIRA,52571742000170,,,,
090051,"EMEI JOAO NEGRAO, CEL.",108100,BUTANTA,BT,EMEI CEL. JOÃO NEGRÃO,50949791000179,,,,
090069,EMEI ALUISIO DE ALMEIDA,108100,BUTANTA,BT,EMEI ALUÍSIO DE ALMEIDA,50863091000167,,,,
090077,"EMEI CAROLINA RIBEIRO, PROFA.",108100,BUTANTA,BT,EMEI PROFª CAROLINA RIBEIRO,50958800000198,,,,
090085,"EMEI NIDA MALDI CORAZZA, EDUCADORA",108100,BUTANTA,BT,EMEI EDUCADORA NIDA MALDI CORAZZA,50862937000144,,,,
090093,"EMEI RONALDO PORTO MACEDO, PROF.",108100,BUTANTA,BT,EMEI PROF. RONALDO PORTO MACEDO,50860030000146,,,,
090107,"EMEI GILBERTO CHAVES, DEP.",108100,BUTANTA,BT,EMEI DEP. GILBERTO CHAVES,51978302000170,,,,
090115,EMEI CAROLINA MARIA DE JESUS,108100,BUTANTA,BT,EMEI CAROLINA MARIA DE JESUS,56319023000118,,,,
090123,EMEI FERNANDO PESSOA,108100,BUTANTA,BT,EMEI FERNANDO PESSOA,56322993000172,,,,
090131,EMEI FRANCISCA JULIA DA SILVA,108200,CAMPO LIMPO,CL,EMEI - FRANCISCA JULIA DA SILVA,52400397000102,,,,
090140,"EMEI ASTROGILDA DE ABREU SEVILHA, PROFA",108200,CAMPO LIMPO,CL,"EMEI - ASTROGILDA DE ABREU SEVILHA, PROFª",50960004000190,,,,
090158,EMEI ANISIO TEIXEIRA,108200,CAMPO LIMPO,CL,EMEI - ANISIO TEIXEIRA,51931244000129,,,,
090166,EMEI LUIZ DA CAMARA CASCUDO,108200,CAMPO LIMPO,CL,EMEI - LUIZ DA CAMARA CASCUDO,52946878000118,,,,
090174,"EMEI MARIO ARY PIRES, MAL.",108200,CAMPO LIMPO,CL,"EMEI - MARIO ARY PIRES, MAL.",52043551000136,,,,
090182,EMEI MARIO SETTE,108200,CAMPO LIMPO,CL,EMEI - MARIO SETTE,50951680000105,,,,
090191,EMEI JOAQUIM MANUEL DE MACEDO,108200,CAMPO LIMPO,CL,EMEI - JOAQUIM MANUEL DE MACEDO,52168994000153,,,,
090204,EMEI CATULO DA PAIXAO CEARENSE,108200,CAMPO LIMPO,CL,EMEI - CATULO DA PAIXAO CEARENSE,52444908000198,,,,
090212,EMEI ASSIS CHATEAUBRIAND,108200,CAMPO LIMPO,CL,EMEI - ASSIS CHATEAUBRIAND,50951714000153,,,,
090221,"EMEI ALAIDE BUENO RODRIGUES, PROFA.",108200,CAMPO LIMPO,CL,"EMEI - ALAIDE BUENO RODRIGUES, PROFª",52946852000170,,,,
090239,EMEI BARBARA HELIODORA GUILHERMINA DA SILVEIRA,108200,CAMPO LIMPO,CL,EMEI - BARBARA HELIODORA GUILHERMINA DA SILVEIRA,52946555000124,,,,
090247,"EMEI JULITTA PRADO ALVES DE LIMA, DA.",108200,CAMPO LIMPO,CL,"EMEI - JULITTA PRADO ALVES DE LIMA, DA.",53758694000197,,,,
090255,"EMEI ROSEMARY SILVA, PROFA",108200,CAMPO LIMPO,CL,EMEI - JARDIM IBIRAPUERA,53759338000198,,,,
090263,EMEI CAMPO LIMPO,108200,CAMPO LIMPO,CL,EMEI - CAMPO LIMPO,55070437000193,,,,
090271,EMEI CLARICE LISPECTOR,108200,CAMPO LIMPO,CL,EMEI - CLARICE LISPECTOR,56276868000173,,,,
090280,EMEI JANETE CLAIR,108200,CAMPO LIMPO,CL,EMEI - JANETE CLAIR,56315567000101,,,,
090298,EMEI DOLORES DURAN,108200,CAMPO LIMPO,CL,EMEI - DOLORES DURAN,57062184000131,,,,
090301,"EMEI DANTE MOREIRA LEITE, PROF",108200,CAMPO LIMPO,CL,EMEI - DANTE MOREIRA LEITE,56319015000171,,,,
090310,EMEI ANGENOR DE OLIVEIRA - CARTOLA,108200,CAMPO LIMPO,CL,EMEI - ANGENOR DE OLIVEIRA - CARTOLA,57059032000180,,,,
090328,"EMEI GUIOMAR PICCINALI, PROFA.",108200,CAMPO LIMPO,CL,"EMEI - GUIOMAR PICCINALI, PROFª",56316581000120,,,,
090336,EMEI CARLOS DE LAET,108200,CAMPO LIMPO,CL,EMEI - CARLOS DE LAET,52043536000198,,,,
090344,EMEI JEAN PIAGET,109000,PIRITUBA,PJ,EMEI JEAN PIAGET,50545920000163,,,,
090352,"EMEI LEOPOLDINA, DA.",109000,PIRITUBA,PJ,EMEI DONA LEOPOLDINA,50862945000190,,,,
090361,"EMEI SARITA CAMARGO, PROFA.",109000,PIRITUBA,PJ,"EMEI SARITA CAMARGO,PROFª",50549161000107,,,,
090379,"EMEI NEYDE GUZZI DE CHIACCHIO, PROFA.",109000,PIRITUBA,PJ,"EMEI NEYDE GUZZI DE CHACCHIO,PROFª",50860063000196,,,,
